"Tweet";"clasificacion"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" RETRASADOS SERVICIO PENA CAMBIADO";"4"
" FECHA MIN QUISE HACERLO WEB CAMBIAR POSTVENTA SERVICIO BLOQUEO POSIB CNDO PODIA";"4"
" SERVICIO EXCELENTE GRACIAS";"4"
" CONVERSACION MINUTOS TELEFONICA CORTAN RESPUESTA LEJOS DESPUES";"4"
" ANIMALES RESPUESTAS DAN AHI SERVICIO VIAJEN PIERDEN";"4"
" HIJOS JAULA PUTA ÑA CLIENTE DUE SERVICIO PASO EMBALADA GATO ROTA ENTREGAN";"4"
" MINIMO SERVICIO TARIFA";"4"
" ANIMALES RESPUESTAS DAN AHI SERVICIO VIAJEN PIERDEN";"4"
" ANIMALES RESPUESTAS DAN AHI SERVICIO VIAJEN PIERDEN";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" MEJOR COMPROBADO SERVICIO LEJOS";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" LAN EMPRESA MOSTRADO FUSION PEOR SERVICIO";"4"
" MUERO EXCELENTE PENSABA SERVICIO";"4"
" ESTAN NOCHE PESIMO APLAZANDO TECNICOS SERVICIO";"4"
" CAGADA AUTOMATICOS BUENISMO RAZON ARREGLAR TWEETS SERVICIO VERGUENZA TRATANDO";"4"
" PESIMO CONCURRENCIA LUGARES CLIENTE SERVICIO EVENT PERVERSA AEROLINEA";"4"
" REVISIONES TECNICAS COMUNES AHORA ADICIONALES TERRIBLE";"5"
" MALTRATAN CLIENTES PESIMO NADIE SERVICIO SANCIONA AEROLINEA";"4"
" CAGADA AUTOMATICOS BUENISMO RAZON ARREGLAR TWEETS SERVICIO VERGUENZA TRATANDO";"4"
" PESIMO VEZ VIAJANDO ATRAPADO SERVICIO MILLAS";"4"
" DECIR TELEFONICO VEZ MALISIMO SERVICIO OFICINAS";"4"
" CAGADA AUTOMATICOS BUENISMO RAZON ARREGLAR TWEETS SERVICIO VERGUENZA TRATANDO";"4"
" CAGADA AUTOMATICOS BUENISMO RAZON ARREGLAR TWEETS SERVICIO VERGUENZA TRATANDO";"4"
" DEBE PASANDO BAJADO LAMENTO SERVICIO CALIDAD HORRIBLE";"4"
" PESIMO LAN CHILE SERVICIO DIFERENCIA BAJADA";"4"
" PRECIOS TV AVION TUC APOYA ROTO PERSONAL BSAS SUCIO SERVICIO COMIDA CABEZA ORDINARIO";"4"
" DAN CABOTAJE NIVELAN EMPRESAS SERVICIO COMIDA ACEPTABLE";"4"
" DEBE PASANDO SERVICI BAJADO LAMENTO CALIDAD HORRIBLE";"4"
" SERVICIO PESIMO";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" CLIENTES LUGAR PESIMO CUIDEN AYUDAR PABLO UIO SERVICIO SALAZAR TRATO";"4"
" PESIMO CENTRAL COMPRAR RESERVAS SERVICIO TKT";"4"
" MALTRATAN CLIENTES PESIMO NADIE SERVICIO SANCIONA AEROLINEA";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" MALTRATAN CLIENTES PESIMO NADIE SERVICIO SANCIONA AEROLINEA";"4"
" HAN FORTALEZA ANTIGUAMENTE BAJADO SERVICIO CALIDAD";"4"
" MANDE VAN RATO HACERSE DM RESPONSABLE SERVICIO PESCAR VODIGO PAUPERRIMO";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" CAGADA AUTOMATICOS BUENISMO ARREGLAR TWEETS SERVICIO VERGUENZA TRATANDO";"4"
" SIEMPRE ODIADO MIERDA SERVICIO BASURA AHORA AEROLINEA ODIO";"4"
" CASO AFECTADO NUMERO PRESTARTE EXCELENTE IMPORTANTE POSEES AYUDARTE PASAJERO HOLA SERVICIO";"4"
" CASO AFECTADO NUMERO PRESTARTE EXCELENTE IMPORTANTE POSEES AYUDARTE PASAJERO HOLA SERVICIO";"4"
" CUARTA ÑIA CLIENTE SERVICIO INEPTA";"4"
" DELICADA ABORDO DECIR FORMA DAN IMPRESENTABLES SERVICIO";"4"
" CANCELADOS DESASTRE INFORMACION PASADO FALTA SERVICIO POBRE";"4"
" CUANTA IRRESPONSABILIDAD";"5"
" SERVICIO HORRIBLE";"4"
" NIVEL ASIENTO BENEFICIO SERVICIO TARIFA ENTREGAN";"4"
" CUANTA IRRESPONSABILIDAD";"5"
" CUANTA IRRESPONSABILIDAD";"5"
" CUANTA IRRESPONSABILIDAD";"5"
" MEJORO PESIMO RECOMIENDO REALMENTE FUSION SERVICIO MEXICO";"4"
" DEBE SERVICIO MASCOTA APARECER TERRIBLE EXTRAVIARON";"4"
" DEBE SERVICIO MASCOTA APARECER TERRIBLE EXTRAVIARON";"4"
" DEBE SERVICIO MASCOTA APARECER TERRIBLE EXTRAVIARON";"4"
" ESTAN NOCHE PESIMO APLAZANDO TECNICOS SERVICIO";"4"
" INTERES ENTREGARTE EXCELENTE PREOCUPA NUESTRO HOLA SERVICIO ANTERIOR PRINCIPAL";"4"
" DEBE SERVICIO MASCOTA APARECER TERRIBLE EXTRAVIARON";"4"
" DEBE SERVICIO MASCOTA APARECER TERRIBLE EXTRAVIARON";"4"
" SANTIAGO SOLICITADO CANCELADO GRACIAS SIDO SABIA TAXI AVISAN SERVICIO USTEDES HABIA";"4"
" HORAS ESPERANDO CENTER PESIMO CALL DM CLIENTE LLEVO RESPUESTA ERRORES SERVICIO COMETEN";"4"
" ESTAN VOUCHER RESP PESIMO TRAVEL RETRASANDO DIAS SERVICIO USANDO PASAJES COMPRA";"4"
" SERVICIO POSITIVOS";"4"
" VITAL COMENTAS EXCELENTE NOSOTROS PRESTARLES PREOCUPA HOLA SERVICIO IMPORTANCIA";"4"
" DETRAS IMPRESIONANTE EMPATIA CERO EMPRESA POCA VOCACION SERVICIO";"4"
" SERVICIO MALO AEROLINEA TERRIBLE";"4"
" COSTO PESIMO BARATOS EMPRESA SERVICIO CONVIRTIO PASAJES";"4"
" COSTO PESIMO BARATOS EMPRESA SERVICIO CONVIRTIO PASAJES";"4"
" COSTO PESIMO BARATOS EMPRESA SERVICIO CONVIRTIO PASAJES";"4"
" PESIMO CONCURRENCIA LUGARES CLIENTE SERVICIO EVENT PERVERSA AEROLINEA";"4"
" DEFINITIVAMENTE SEGURIDAD BUEN VIAJAR SERVICIO PUNTUALIDAD";"4"
" PESIMO TURISTICOS CONCURRENCIA LUGARES CLIENTE SERVICIO EVENTOS PERVERSA AEROLINEA";"4"
" ESTAN VOUCHER RESP PESIMO TRAVEL RETRASANDO DIAS SERVICIO USANDO PASAJES COMPRA";"4"
" CANJEADO KM RESPONDE CANJEE POST LAN SERVICIO PRODUCTO RECLAMO HORRIBLE";"4"
" DEVOLUCION DESASTRE NADIE RESPONDE PIDO SERVICIO CAMBIAN";"4"
" SIQUIERA PLATAFORMAS PESIMO EXISTE FUNCIONAN SERVICIO CALIDAD";"4"
" ESMERAMOS GUSTO ALEGRA EXCELENTE ESTES VERONICA HOLA RECIBISTE SERVICIO DIA";"4"
" <U+21E9> PEDISTE ACA EMPRESA HOLA SERVICIO COBRO RECLAMA";"4"
" DEFINITIVAMENTE SEGURIDAD BUEN VIAJAR SERVICIO PUNTUALIDAD";"4"
" ESTAN VOUCHER PESIMO TRAVEL RETRASANDO DIAS RESPUESTA SERVICIO USANDO PASAJES COMPRA";"4"
" DICIENDO CANCELADO COMUNICARSE RECIBI SIDO IMPOSIBLE CLIENTE CORREO SERVICIO";"4"
" CARGO REALIZAS SALUDOS GENERA PASAJERO SERVICIO PROCESO COMPRA";"4"
" CARISIMO MIERDA ADIVINEN BARATO USTDS SERVICIO LOWCOST";"4"
" WN RECUPERA PERDIDO SERVICIO PENE";"4"
" <U+00BB> <U+00BD> CARISIMO MIERDA <U+008B> <U+00A0> ADIVINEN BARATO USTDS <U+00B9> <U+00BF> PASAR <U+00BC> SERVICIO <ED> LOWCOST";"4"
" MALETA INTERIOR CASO ENVIADO LAMEMTABLE LLEGO AGENTES SERVICIO CASA DETALLE FALTAN";"4"
" AZAFATA RETROCEDEN PUESTO MOVIO CLIENTE DIA SERVICIO DEDO";"4"
" DURANTE PESIMO SERVICIO COMBUSTIBLE ESPERA ABASTECIMIENTO";"4"
" CARAMELO HORAS VIAJE DAN";"4"
" DOY PESIMO RESPUESTA SERVICIO VIAJES";"4"
" AEROPUERTO SERVICIO VERGUENZA";"4"
" BORDO PROVISIONES CUENTAN SERVICIO COMIDA";"4"
" DEPRIMENTE CIAS LOW ESPECIAL COMPETENCIA QUIEREN VERGONZOSOS SERVICIO COST";"4"
" FUTUROS EVITAR VIAJEROS DEPLORABLE HARE SERVICIO POSIBLE PAGUEN";"4"
" SERVICIO VERGUENZA AEROPUERTO";"4"
" CUELGAN LLAMADAS CALLCENTER ATIENDEN DESMEJORADO SERVICIO";"4"
" NISIQUIERA DEVOLUCION ENTREGA CANTIDAD VISTO DIAS EXCESIVO SERVICIO";"4"
" LLAMADAS FRECUENTE SERVICIO OPERADORES NOTADO COLGAR";"4"
" ESPERE DM LLAMADO RESPUESTA";"5"
" NISIQUIERA DEVOLUCION ENTREGA CANTIDAD VISTO DIAS EXCESIVO SERVICIO";"4"
" CUELGAN LLAMADAS CALLCENTER ATIENDEN DESMEJORADO SERVICIO";"4"
" LOS ESTUPIDOS PIDEN DATOS RESPONDER WIFI";"5"
" PASAJEROS REALMENTE FRECUENTES DAN ÑIA COMO VERGONZOSO TRATO CAE";"4"
" ROMPIERON PUSIERON ABRIERON CANDADO NUEVO VIERON";"3"
" DESPACHADO CUANTAS CUANTAS EQUIPAJE FUE ABRE ACUERDO AEROPUERTO";"3"
" DICIENDO AVION HORAS RECLAMOS HAB TENDRIAMOS MAIL ATERRIZO DESPUES";"4"
" QUEDO LUGAR DESTROZARON RECLAMOS VUELO ASI MI DICEN GUITARRA";"3"
" GRACIAS INQUIETUDES EXCELENTE RESPUESTA SERVICIO INCONVENIENTES";"4"
" RESPONDIDA YA ESPERO DATO SOLICITADO SEA";"5"
" PAGINA COMPRANDO PERMITE BOTON FIRMANDO BOLETO ESTOY DANDOLE PAGO CONTINUAR AVANZAR HOLA";"5"
" DECIR BUROCRACIA PATETICOS PARA RESPONDER CON NECESITAN WIFI";"5"
" PERMITE DEVOLUCION SALUDOS SOLICITAR INVOLUNTARIO CAMBIO";"2"
" ANIMO CRISTIAN CONSIGAS DUDO";"5"
" BORDO PABLO SAN WI";"5"
" SOLA PERMITE PASAJEROS WEB TARJETA DESCARGAR";"5"
" INEFICIENCIA GESTION SOLUCIONAR QUE ERRORES MALA PROPIOS";"4"
" MALETA PERDIERON LMA-CANCUN";"3"
" CONEXIONES SUPERVISORA REGRESO AYUDAR AEROPUERTO INSULTO ESTAMOS ESTADIA";"4"
" SERVICIO PEOR ALCLIENTE";"4"
" MALETA RECIBI MIA LLEGO CONTENIDO";"3"
" ES UNA CLASICO LOCURA RT ESPERAR ABURRIERON";"4"
" EMPRESA SUGIEREORONTOS CERRAR TERRIBLE ATENCION";"4"
" ES UNA CLASICO LOCURA ESPERAR ABURRIERON";"4"
" RATEROS MIS UDS PASAJES AEROLINEA";"2"
" AIRLINES DIRECTOR COLOMBIA NOMBRA EJECUTIVO NUEVO LATAM";"5"
" PLEASE CALL DECIR ALGUIEN ATIENDAN CENTER";"1"
" MATIL MAIL";"5"
" CAMBIAN SELECCIONE ASIENTO CHEQUEO";"5"
" INES EL SILVA YMVIF RESERVA LA2429 MATILDE CODIGO MARIA";"5"
" TRANSPORTAR ESCRITORIO CPU PC DESPACHADO EQUIPAJE MANO GABINETE";"3"
" VOSOTROS SEGUN HABLAR";"5"
" REQUESTED RESOLVED MISSING FLIGHTS STILL STILL HALF CLOSE DON MY NOT THE PLEASE TICKET";"5"
" INGRESAR LATAMPASS";"5"
" MIA-SCL QUEDO LUGAR DESTROZARON RECLAMOS VUELO ASI DICEN RT GUITARRA";"3"
" PIDEN DATOS RESPONDER LOS ESTUPIDOS WIFI";"5"
" PASAJEROS REALMENTE FRECUENTES DAN ÑIA COMO VERGONZOSO TRATO CAE";"4"
" DESPACHADO CUANTAS CUANTAS EQUIPAJE FUE ABRE ACUERDO AEROPUERTO";"3"
" DICIENDO AVION HORAS HABLE RECLAMOS TENDRIAMOS MAIL ATERRIZO DESPUES";"4"
" QUEDO LUGAR DESTROZARON RECLAMOS VUELO ASI MI DICEN GUITARRA";"3"
" GRACIAS INQUIETUDES EXCELENTE RESPUESTA SERVICIO INCONVENIENTES";"4"
" DECIR BUROCRACIA PATETICOS PARA RESPONDER CON NECESITAN WIFI";"5"
" PERMITE DEVOLUCION SALUDOS SOLICITAR INVOLUNTARIO CAMBIO";"2"
" NADIE RESPONDE RESPUESTAS LATAM AIRLINES VERGUENZA UNO CONTESTA LEJOS ERAL ENTREGAN";"5"
" COBRAN SUBIR EXCESO MERCADO AIRLINES LATAM MALETAS INAFICIENTE AEROLINEA";"5"
" INFORMA RECOMENDACIONES AIRLINES LATAM MEDIDAS RAIZ";"5"
" ANIMO CRISTIAN CONSIGAS DUDO";"5"
" BUEN DATO VOLAR";"5"
" SOLA PERMITE PASAJEROS WEB TARJETA DESCARGAR";"5"
" INEFICIENCIA GESTION SOLUCIONAR QUE ERRORES MALA PROPIOS";"4"
" CONEXIONES SUPERVISORA REGRESO AYUDAR AEROPUERTO INSULTO ESTAMOS ESTADIA";"4"
" MALETA LLEGAR PERDIERON PEOR MXCO";"3"
" ES UNA CLASICO LOCURA RT ESPERAR ABURRIERON";"4"
" VINO IDO UUUU BOTELLAS CON PERFECTAS BIEN POBRE";"5"
" LOW MY EVEN THIS THIS LIFE FAR ISSUE AIRLINES BY RT NOT EXPERIENCE HAVE CUSTOMER THE WORSE EVER COST";"2"
" CANNOT TICKET HELP CAN PHONE BUY MULTIPLE WEBSITE YOUR TIMES SERVICE CUSTOMER YOU THE TRIED FROM";"5"
" CARO EXTRAS FUNCIONA QUERIAN COST ASI COBRANDO RT NO LOW";"2"
" GENTE TOMALO DEJALO ESPERATE EMPLEADOS CABRONES RT GUSTA SUS WEBEAR VAN";"4"
" VUELTA COMIDA COBRARON GRATIS";"2"
" CARO EXTRAS FUNCIONA QUERIAN COST ASI COBRANDO NO LOW";"2"
" SERVICIO PESIMO";"4"
" SERVICIO QUE LATAM MIERDA";"5"
" ESPERE SENTADO BIEN";"5"
" SERVICIO POBRE PASADO UN";"4"
" TRATA MISMO PASAJERO FAMOSO AQUI DA TRATADO";"3"
" PLASTICO BUEN LATAM MIERDA HUASOS RT INEFICIENTE SERVICIO GUITARRAS FALTO";"5"
" PEDAZOS TENGA LADRIS NO SERVICIO DEJARON";"4"
" MONT HOY CASI PAGUE SANTIAGO-PUERTO QUIERE VIAJE AGUA BODEGA RT EQUIPAJE PIE VIAJO";"3"
" BRINDAR SERVICIO CALIDAD";"4"
" GENTE TOMALO DEJALO ESPERATE EMPLEADOS CABRONES GUSTA SUS WEBEAR VAN";"4"
" CHILE ARGENTINOS LATAM RT ESTOS PELOTUDOS DICHO PASAJES";"5"
" LATAM ABSOLUTAMENTE RT INEFICIENTE";"5"
" SERVICIO DEFINITIVAMENTE CLIENTE AEROLINEA PEOR";"4"
" SERVICIO DESASTRE AEROPARQUE";"4"
" PESIMO TENIA CHILENOS CUMPLIDO CREIA HAN SERVICIO MUXOS ANHELO";"4"
" ÑIA LATAM PESIMA";"5"
" COLO MALO TRANSPORTE RT SERVICIO";"4"
" EMPRESA RT DESASTRE";"5"
" MALO SERVICIO RECLAMOS VEZ EMPEORA MEJOR RT INUTILES DIA LATAM RESPUESTAS";"5"
" EL RT SERVICIO PESIMO";"4"
" INCREIBLE CONSUMIDOR DEFIENDA INSTITUCION RT HAYA";"5"
" PESIMO BUSINESS RT SERVICIO CLASS SEGUIMOS";"4"
" NY ASIENTOS HIJO PESIMO SEPARADO RT AYER SERVICIO VIAJO TENIAN";"4"
" PESIMO RT SISTEMA ENTREGA EQUIPAJE";"3"
" CENTER ATENCION CALL PEDIR MOMENTO PEOR EMOCIONAL SERVICIO MASCOTA TENIDO";"4"
" SERVICIO COMIDA DEFICIENTE ADEMAS DAR MIERDA";"4"
" SERVICIO LATAM MEJOR EL COMODIDAD IGUAL";"5"
" POSITIVO CLIENTES HICIERON PORQUE OHH NAD NULA RESPONSABILIDAD SERVICIO";"4"
" MONT HOY CASI PAGUE SANTIAGO-PUERTO QUIERE VIAJE AGUA BODEGA EQUIPAJE PIE VIAJO";"3"
" PRECIOS SE ONDA TARAPOTO PESIMO DOLARES AGUA DAN RT QUE SERVICIO";"4"
" COLMO ES MALOS AGUA CADA RT PEOR VA COBRAN DIA SERVICIO";"4"
" MEJORE ESTEN SERVICI QUIZAS PAGADOS OJALA CORRIJA DESMOTIVADOS";"4"
" COLMO ES MALOS AGUA CADA VA COBRAN DIA SERVICIO";"4"
" UDS REALMENTE DESEAR RESPONDAN OJALA SERVICIO";"4"
" SERVICIO CANCELADOS VUELOS REEMBOLSOS ADEMAS";"4"
" CHILE ARGENTINOS LATAM ESTOS PELOTUDOS PASAJES";"5"
" GRAVE INSIGNE NUESTRO ENTERANDOME SERVICIO";"4"
" SERVICIO EXCELENTE ASISTIRTE PARA";"4"
" PLASTICO BUEN LATAM MIERDA HUASOS INEFICIENTE SERVICIO GUITARRAS FALTO";"5"
" EJEMPLAR CUMPLIDA AEROLINEA";"5"
" PAGARLO CUPONES COBRAN VALE COST FLEX LATAM RT LOW SERVICIO VERSO TARIFA UPGRADE";"2"
" PAGARLO CUPONES COBRAN VALE AT COST FLEX LATAM HORRIBLE CLIENTE LOW SERVICIO VERSO TARIFA UPGRADE";"2"
" IMPORTA CONSECUENTE SLOGAN CLIENTE PEOR SERVICIO DIA LATAM PUBLICIDAD";"4"
" NUESTRAS GRAVE INSIGNE GUIT RT NUESTRO ENTERANDOME SERVICIO";"4"
" TICKET DECIR FINAL DIERON MISMO VENTA PUEDO SERVICIO COMPRE SOLUCION";"4"
" GRAVE INSIGNE NUESTRO NUESTRA ENTERANDOME SERVICIO";"4"
" NY ASIENTOS HIJO PESIMO AYER SEPAR SERVICIO VIAJO TENIAN";"4"
" ACPETO ESPERO UNA MISERABLES DOLARES OFRECEN MIERDA NO SERVICIO COMPENSACION";"4"
" PAGINA DESASTROSA RT ADREDE";"5"
" ESTAN DESASTRE RECLAMOS RT OBVIAMENTE COLAOSADOS";"1"
" PAGUES CAMBIAN RT IGUAL NO DESPUES";"2"
" NUNCA SOLOS RT MENOR VIAJAR AÑOS DICE";"5"
" MAMA ARRUINARON LLAMARON PAGAR CUMPLEA RT VIAJARAN TUVO BAJARON SERVICIO LOS ÑOS";"4"
" PAGUES CAMBIAN IGUAL NO DESPUES";"2"
" ESTAN OBVIAMENTE COLAOSADOS DESASTRE RECLAMOS";"1"
" NACIONAL VERGUENZA EMPRESA";"5"
" ADREDE PAGINA DESASTROSA";"5"
" MAMA ARRUINARON LLAMARON PAGAR VIAJARAN TUVO BAJARON SERVICIO LOS CUMP";"4"
" NUNCA SOLOS MENOR VIAJAR AÑOS DICE";"5"
" NI SECNAC COSQUILLAS INMUNES SINVERGUENZAS";"5"
" MISERIA ESTOS DESTROZ DARAN LAVAN MANOS COMPENSACION";"2"
" MALO RT VUELES";"5"
" PEDORRA SE PIERDAS VOLVIERON NO EMPRESA";"5"
" LOS NO EQUIVOCARON LOW TURROS SERVICE ES COST";"2"
" CASO SRES LLEVA RT NOVEDAD";"4"
" CASO SRES LLEVA NOVEDAD";"4"
" ROMPEN CANDY ALCANZA EQUIPAJE VIAJEN COMPENSACION";"3"
" NUNCA DEPENDENCIAS LLEVAN EMPLEADOS FUNCIONAN USTEDES";"4"
" MALO VUELES";"5"
" VIAJA RESPONDEN EQUIPAJE DESTROZOS";"3"
" HUEONES CAZA RT SINVERGUENZAS";"5"
" CAZA SINVERGUENZAS HUEONES";"5"
" PRECIOS ES PESIMO B'RT CAROS MALTRATADAS SERVICIO MALETAS TERMINAN ABUSO";"4"
" LOS PRECIOS PROMO MEGA MISMO";"2"
" VALIJA INFORMAN CUANDO B'RT DIAS PIERDEN";"4"
" IMPORTA ASIENTO SIN";"5"
" IMPORTA RUSIA INCLUIDA DOLARES AGUA IMAGINO EMPEZARA AHORA B'BUENO SACAR PASAJES";"5"
" EXCEPCION REPROGRAMAN PENALIDAD ACABAN 9, CUBA NO DIFERENCIA ABONANDO TARIFA SALIR";"2"
" MINIMO INCONVENIENTE UNA ATENCION SNACK NO SORPRENDE ME SIRVAN";"4"
" UNA DISCULPA MAIL VIAJE REALMENTE MES LLAMADO OFRECIENDO HACE PENA CASI SOLUCION";"5"
" AUTOCRATICA FRECUENTE RESPUESTA RECIBIR APENA PASAJERA INJUSTO SOLUCION";"5"
" DICIENDO IGNORANDO VUELTAS VAN MIL MENTIRAS VIAJE AVISENMELO IGNORARON USTEDES SI";"5"
" AHORA POR SOLUCIONES RESPONDEN DAN";"5"
" DE HORAS RESOL ESTUVE ATENTO RESPETO SUGERIMOS AYER FALTA DOCE TE";"4"
" MANERA CONVERSACION CREO ES HILO RESPONDEN IMPOSIBLE SOLUCIONAR DISTINTAS";"1"
" QUIENN LAS LA MOLESTIAS RESPETO OCASIONADAS FALTA INDEMNIZA";"4"
" PERDI TRATAMIENTO LARGO DEMORO ESAS PARA PEOR CONFLICTO HORAS RESOLVIERON";"4"
" UNA COMUNICACION EVIDENTEMENTE INTERNA LASTIMA CORRESPONDE DERECHOS DENUNCIA";"5"
" SI AYUDAN RESPONDEN SIEMPRE MISMO";"5"
" GENTE AYUDA ATIENDAN ASCO CAMBIAR TELEFONO TIPO";"1"
" AFECTADOS PASAJEROS B'RT DEMORADOS COMUNICADO ASAMBLEAS CANCELADOS";"2"
" ASESORANDO INCONVENIENTE RESPONDIERON NECESITO RESOLVERME ESTABAN ME TERMINEN";"5"
" PEDIMOS CHICOS PLATO PESITOS CONFORMAMOS PERO CAPITAN DIEZ GOURMET ESPACIO";"5"
" MENTIROSA CHORRAAAAAAAA LA AEROLINEA UNIVERSO";"5"
