"Tweet";"clasificacion"
" DURANTE HORAS PE9SIMO VIAJE DAN CARAMELO B'EL SERVICIO COMBUSTIBLE ESPERA ABASTECIMIENTO XL1368";"4"
" BORDO PROVISIONES CUENTAN SERVICIO COMIDA";"4"
" PASAJE PLATA KM COMPRAR TAMBIEN HACES ESFUERZO BARATO CON COMO ROBAN FUERA";"5"
" CASO SE COMPLEJIDAD RESPONDE CERT NO TODO HASTA SOLICITARON PRESENTO";"4"
" CONSERVAR PRIVACIDAD ENVIEN DM DATOS";"5"
" PEDIMOS DEBIDO INFORMACION FAVOR CONTIENE PERSONAL ELIMINES TE HOLA";"5"
" MALETA INFORMAR YA RECUPERAR VAN HIZO MISMO AYER COMUNICAR RECLAMO SUCEDE";"3"
" MALETA MAMA UIO MI LLEGA AYER LLEGO HOLA";"3"
" CARGO ROBAR B'COMO INMORALES VERGUENZA USTEDES COMO CONCIENCIA DICE";"3"
" MALETA INTERIOR CASO ENVIADO LAMEMTABLE LLEGO AGENTES SERVICIO CASA DETALLE FALTAN";"4"
" REVISARE CONTEN EQUIPAJE MES APAREZCA PERDIDO B'A LLEGA AHORA CASA ESPERA";"3"
" TICKET HORAS B'RT CONTACTARLOS SIDO CAMBIO TRATANDO POSIBLE";"4"
" CHILE MANTIENEN AVIONES EXTRANJEROS CUANDO IMAGINEN SOLUCIONAN";"5"
" CHILE ESPERANDO CHECKING REGRESO APARECE RESPUESTA CODIGO RESERVA";"5"
" CASO ABIERTO SRES B'RT LLEVA 5,5 MESES NOVEDAD";"4"
" B'SRES CASO ABIERTO LLEVA 5,5 MESES NOVEDAD";"4"
" PENSAR QUIERO SEGURIDAD GENTE POR CUESTA DIOS AEREA NO INEPTA";"5"
" DESASTRE GASTE B'RT SERVICIO TAL";"4"
" DESASTRE GASTE SERVICIO TAL";"4"
" SEGURIDAD PELEA HICIERON DICEN ETERNA SOLUCION";"5"
" ESPERO RESPUESTA HACE USTEDES MIL HIJOS DELINCUENTES PUTAS DE AÑOS QUE";"2"
" PONEN IMPORTAN CLIENTES B'LO DECADAS EMPRESA PLAZO";"5"
" DEFINA SON ESPERANDO PAGARME YA SIII B'RT JUEZ";"2"
" DEFINA SON ESPERANDO PAGARME YA SIII JUEZ LADRONES";"2"
" LUCHA RESIGNES DE NUEVO COMPRAR LADRONZUELOS B'NO ANDA MANERAS TODAS VIENDO";"3"
" QUIERO NI SON MENCIONARLO B'DIOS NO TENGAN JORGE BASURA VERDADERO";"5"
" PUEDAS CUANDO HAGAS VIAJAR LADRONES";"2"
" NIVEL CASO ACA B'POBRE OSTENTA TRISTE SEÑOR DELINCUENCIA SERGIUM";"4"
" DAMOS CHUPAN BOLA HUEVO DM SUS B'ESTIMADO PRIVADO SERGIUM MANDENOS";"5"
" HUEONES B'RT CAZA SINVERGUENZAS";"5"
" SEGURIDAD ESTOS DELINCUENTES PERFECCION EMPRESA AEREA CONFIABLES B'JORGE ILUSTRA";"2"
" MISERIA ESTOS DESTROZ DARAN LAVAN MANOS COMPENSACION";"2"
" MALO B'RT VUELES";"5"
" MALO VUELES";"5"
" VIAJEN PERDERAN";"5"
" VIAJA RESPONDEN EQUIPAJE DESTROZOS";"3"
" CAZA SINVERGUENZAS HUEONES";"5"
" ESTAN COLOMBIA SOLUCIONA";"1"
" TENGAS VIAJAMOS MIERDA POBRES LEO SUERTE JET";"5"
" TAMPOCO MIERDA";"5"
" PERDIERON SUERTE EQUIPAJE BAJON ROBARON LUCHANDO PAGUEN";"3"
" TUVE CANCELAR DESASTRE PASAJE UN B'RT MEDICAS DINERO MESES RAZONES DEVUELVEN";"4"
" NO HOY ESPECIAL EN COST VERGONZOSOS EL CIAS COMPETENCIA SERVICIO LAS LOW QUIEREN DEPRIMENTE LATAM PORQUE ES";"5"
" AIRES BUENOS INMOBILIARIO LATAM CORPORATIVOS PLACER REAL SERVICIO EL CONCEPTO BROKERS";"5"
" CUELGAN LLAMADAS CALLCENTER B'RT ATIENDEN DESMEJORADO PARECE SERVICIO CONTEO";"4"
" NISIQUIERA DEVOLUCION ENTREGA CANTIDAD B'RT VISTO DEADAS EXCESIVO SERVICIO EL";"4"
" SERVICIO LLAMADAS FRECUENTE OPERADORES NOTADO HE COLGAR";"4"
" ESPERE PARE OFRECEN LLAMADO DM RESPUESTA SERVICIO SU TWITTER";"4"
" CUELGAN LLAMADAS CALLCENTER CONTROL ATIENDEN DESMEJORADO PARECE SERVICIO";"4"
" HOY PESIMO DISCRIMINAN B'RT LATAM ATRASAN EXTRA POSTVENTA SERVICIO LAN ÑO";"5"
" NO ESPALDA PESIMO CON EL HAY B'RT ACCIONAR ESTAN SERVICIO LAS ESTATICAS LLEGAS PUEDEN LA LATAM DE SILLAS ES QUE";"5"
" SOBREVENTA PESIMO B'RT CLIENTE SUELEN SERVICIO LATAM EL PASAJES";"4"
" CHILE B'RT SERVICIO VIAJAR NYC NO ESTOY SOBREVENDIDO JUNTOS PÉSIMO TRANSITO POSIBLE";"4"
" SIQUIERA DEVOLUCION CANTIDAD VISTO DECADAS EXCESIVO SERVICIO EL NINGUUN";"4"
" HOY CLIENTES PESIMO LATAM DISCRIMINATORIOS ATRASAN EXTRA POSTVENTA SERVICIO LAN ÑO";"5"
" CHILE ERROR ENMIENDAN SERVICIO VIAJAR NYC NO ESTOY SOBREVENDIDO JUNTOS PÉSIMO TRANSITO COMO POSIBLE";"4"
" ATENCION ESCLAVOS ANTOJOS B'HASTA VERGUENZA SERVICIO";"4"
" TICKET HORAS UN INTERESA LAMENTABLE NO VENDEN SERVICIO LLAMAN FACTURAR";"4"
" SERVICIO SECTOR B'EL CAMBIANDO COMPORTAMIENTO CLIENTE SALUD ATENCION";"4"
" PAGAR PODES RECOMENDE OCUPAR HACE AUNQUE EXTRA EMERGENCIA SALIDA VACIA AÑOS B'EN";"2"
" ABORDO ASEMEJA EXCELENTE DESEAR REALMENTE EQUIPAJE SERVICIO";"4"
" VALE PERDER SIRVE LEALTAD DM TELEFONO CLIENTE LLAMAN AÑOS B'CUANDO";"1"
" SERVICIO EL CADA PEOR DIA";"4"
" SERVICIO EL CADA PEOR DIA";"4"
" PERMITE OFRECERTE B'NUESTRO SERVICIO CALIDAD ALTA DOMINIO";"4"
" SIQUIERA MAIL HABLAN RESPONDEN BROMA SERVICIO";"4"
" LLEVO ACUMULEN CASO PIDIENDO KILOMETROS VIAJE ONEWORLD PEOR SERVICIO MESES CXADA COMPARE HECHO";"4"
" LUJO LOW VEZ B'CADA COBRANDO PEOR SERVICIO FUERAN ENTREGAN COST";"2"
" GRACIAS BICI LLEGO SERVICIO TRIPULACION NENE";"4"
" MALO CASO BUENO SERVICIO LATAM";"4"
" ESPERANDO ERROR HABILES REPROCESO DECADAS LLEVO SERVICIO REGISTRAR EL HECHO";"4"
" DICIENDO ESTAN PG LATAM APARECE EXISTE TIPO SERVICIO";"5"
" JUEVES RESPONDIERON B'RT HORRIBLE PASADO CLIENTE SERVICIO";"4"
" COBRARON ILEGAL RT ALTAMENTE TARJETA VUELTA COMIDA EFECTIVO GRATIS";"2"
" FINAL CONFORMAR AL RESPONDIERON B'RT DAN BURDO DEBES BIEN ESO VERGUENZA";"5"
" SERVICIO JUEVES B'HORRIBLE RESPONDIERON PASADO CLIENTE";"4"
" LLAMARON HICE PESIMO EQUIPAJE ROMPIERON JAMAS VUELTA SERVICIO RECLAMO";"4"
" SERVICIO IGUAL B'RT";"4"
" PERDON LAN SUERTE PORQUERIA SERVICIO";"4"
" LOW VOLVERSE MIERDA PRETENDER LUEGO ALGUIEN B'A SERVICIO LATAM COST";"5"
" MEDIOCRE SEA RECIBO CELULARES MES ROBADOS RESPUESTA SERVICIO INCREIBLE AEROLINEA";"4"
" POBRE DESASTRE INFORMACION UN B'RT PASADO FALTA SERVICIO CANCELADOS";"4"
" SERVICIO IGUAL";"4"
" FINAL CONFORMAR AL RESPONDIERON DAN VERE BURDO DEBES BIEN ESO";"5"
" CARO EXTRAS FUNCIONA QUERIAN BAJANDO COST ASI B'RT COBRANDO NO LOW CALIDAD";"2"
" GENTE TOMALO DEJALO B'RT ESPERATE EMPLEADOS CABRONES GUSTA SUS WEBEAR VAN";"4"
" B'LATAM AGUA AIRLINES MERCADO AEREA MODALIDAD LINEA COBRA OBSEQUIA";"2"
" NO MENTIROSOS LLEGAR B'RT EQUIPAJE DIJERON ENTREGABAN PM ME";"3"
" NO MENTIROSOS EQUIPAJE LL DIJERON ENTREGABAN PM ME";"3"
" AVION NECESARIO FUERZA SNACK NOS JEFE RT RETIENE TRIPULACION DECIDE EL DARNOS";"5"
" NO MIENTEN VALIJA EN B'RT DOLARES COMPRAR COBRA CAMBIO LATAM SABEN PIERDEN DECADA";"5"
" NO MIENTEN VALIJA EN PROBLEMAS DEADA DOLARES COMPRAR COBRA CAMBIO LATAM SABEN PIERDEN COMPRAS";"5"
" QUE RATAS";"5"
" PERDER SOLUCIONES CAUSA NO OBLIGAN PASAJES ENTREGAN ENTIENDE";"3"
" HS PENALIDAD B'RT VIAJE EQUIPAJE HACE AEROP USD ESPERO DEBEN DEVOLVERME VANO";"3"
" HS PENALIDAD VIAJE EQUIPAJE HACE USD ESPERO DEBEN DEVOLVERME VANO";"3"
" DE NADIE MANUAL ASCO CONTINGENTE NO SERVICIO EMERGENCIA PREPARADO";"4"
" CASO SALUDOS RESPECTO BRINDARTE TRABAJANDO RESPUESTA PRONTA ESTAMOS HOLA";"4"
" CANCELA MALTRATAN B'RT CLIENTE VALIJA VUELVO PIERDEN";"4"
" PUDO AGUA GYE-UIO VASO B'VUELO SACO ATERRIZAR REGRESA SERVICIO ORIGEN";"4"
" CONFIAR MALETAS COMO NUEVO ENTREGAN";"5"
" NO EN B'RT DOLARES COMPENSAN ERRORES COMPRAR COBRA CAMBIO LATAM DECADA";"5"
" NO EN PROBLEMA DOLARES COMPENSAN UN ERRORES COMPRAR COBRA CAMBIO LATAM DECADA COMPRAS";"5"
" ORLANDO CENTER ATENCION CALL DURANTE SITUACION PERSONAL CHAPEAU B'PLACER SEÑORES ENORME";"1"
" NO CANCELA MALTRATAN CON CLIENTE VIAJEN VALIJA VUELVO LATAM PIERDEN";"5"
" VALIJA NUNCA VUELOS COMPREN B'RT LATAM PERDE AEROPUERTO EN TE PIERDEN ENCUENTRAN";"5"
" VALIJA NUNCA PLATA VUELOS COMPREN LATAM PERDES AEROPUERTO EN TE PIERDEN ENCUENTRAN";"5"
" DEBE B'RT LATAM EQUIPAJE TRASLADO SABIENDO AEROPUERTO INNECESARIO USD DEVOLVERME";"5"
" CANCELA MALTRATAN B'RT CLIENTE VALIJA VUELVO PIERDEN";"4"
" DEBE LATAM EQUIPAJE TRASLADO SABIENDO AEROPUERTO INNECESARIO USD DEVOLVERME";"5"
" CANCELA MALTRATAN CLIENTE VALIJA VUELVO PIERDEN";"4"
" CAMBIAN SELECCIONE ASIENTO CHEQUEO";"5"
" MALETA RECIBI REVISEN MIA LLEGO CONTENIDO";"3"
" LOS ESTUPIDOS PIDEN DATOS RESPONDER WIFI";"5"
" QUEDO LUGAR DESTROZARON RECLAMOS VUELO MVD SCL ASI DICEN GUITARRA MIA-SCL";"3"
" COLA COUNTER MEDIA";"5"
" HORAS OBTENER ES CENTER CALL LAN ESTUVE ALLI AHI IMPOSIBLE UTIL PERO CORRIGIO SISTEMA TRATANDO";"1"
" PAGINA SIEMPRE PESIMA CENTER ATENCION TENIA AYUDO CALL LATAM COMO PASAJES HOLA";"5"
" DEPOSITAR DOLARES CONTACTARME LLAMEN LATAM EN DIAS SIN";"5"
" IGUALES TENGO RESPUESTAS VERGONZOSO ES";"5"
" CONEXIONES PEOR PERDER REGRESO LO MARTES MALETAS HACIENDO CASA PIERDEN";"3"
" PEOR MIA-ATL MALETA LMA-CANCUN CANCUN-MIA PERDIERON HORRIBLE REGRESO CONEX AEROLINEA CASA ESTADIA";"3"
" CONEXIONES SUPERVISORA REGRESO AYUDAR AEROPUERTO INSULTO ESTAMOS ESTADIA";"4"
" PEOR INEPTITUD SINACEPTABLE LA REGRESO CLIENTE ELMARTES SERVICIO CASA ALCLIENTE";"4"
" CONECCION MIA-ATL MALETA MIA LLEGAR PERDIERON PERDI PEOR MXCO RECOMPENZA MEXICO";"3"
" SIGO HUMANITARIA INSISTIENDO AYUDA VAN URGENTE DIAS RESPUESTA SOLICITE LLAMANDO AEROLINEA";"4"
" MARKETING BUENA ACCION PARECE UNA MUCHOS CAGADA DE VERAS NOS LES";"5"
" TEMPERATURAS AVIONES INCOMODO SIEMPRE HELADAS ES";"5"
" DIA SERVICIO AMIGOS PARECEN PEOR";"4"
" HAGA EQUIPAJE MIERDA HUASOS EMPATIA SUFRIDO";"3"
" RATO LATAM";"5"
" SON INTERNACIONAL AEROPUERTO MEJOR COUNTERS RECLAMACION HOJA";"5"
" RECOMENDACION HORAS AVISAN LAVAN VIAJEN MANOS TARDE CAMBIAN";"4"
" PEOR SERVICIO RETRASO NOSOTROS JAMAS PAGAMOS PERDIMOS TE TENIDO PRESENTO RESOLVIERON";"4"
" AEROPUERTO DUE ME ÑO TALARA";"5"
" INFORME MINUTOS CHISTE MISMO RESPUESTA INDICAR DIAS COMPRA SOLUCION";"4"
" DESPUES RECIEN DIGA LLAME PROXIMA SEMANA ATENDER UNA ALGUIEN SEMANA RECLAMO";"1"
" ANTECEDENTES CREDIBILIDAD INTERNA FORMA CERO LUEGO VIA EMAIL FORMALIZAR RECLAMO";"5"
" SE PASARON ESTAFADORES QDARON PERU EMPRESA DEVOLVIERON EN PASAJES";"5"
" CASO PLATA ESTAFADORES QDEN PRONTO PERMITIR ABRIRE PASAJES";"4"
" SOMOS PENDEJO DESGRACIA SON TRATAN";"5"
" NO PUBLICAMENTE CENTER LATAM MAS PROMETO PASAR PEOR VOLAR CONTACT";"5"
" ARREPIENTO NO EN CENTER FORTUNAS GASTO VEZ NECESITO VIAJAR MAS LATAM CONTACT";"5"
" HS PERDI RESUELTO TOMABA CREIA TELEFONO VYEDFT TARJ CODIGO CAMBIO CASI RESERVA";"3"
" MANDE HORAS INFORMACION RESPONDEN DM SEÑORES QUE USTEDES";"4"
" CUSCO HORAS SON LIMA ENVIE SRS QUE ABUSO";"4"
" HORAS NOCHE EMPEZO INDECOPI AEROPUERTO CON ANDA HABER ALIMENTACION SI DEBEN ESPERA OFICINA DADO";"4"
" NO SOLUCION CENTER COMUNICARME CALL IDEA LA RESPUESTA DAR USTEDES INTERNAMENTE";"1"
" POR PELUCON VIAJAMOS BUS NOSOTROS DAN MASHI FLOTA SANDUCHE EN HAGA AEROLINEA OCURRE";"5"
" NO MALETA ROMPEN DE COMPENSA INUTILIZADA DAÑO PEOR DEJAN INDICAN RECLAMO";"3"
" SOCIOS CLIENTES MURIO UNA PERDIO TENIA LAN RESPETO VERGUENZA SERVICIO LATAM CALIDAD";"4"
" PONEN GUAYAQUIL PASANDO VUELO SALE QUITO SERVICIO CANCELADO";"2"
" YA NADIE GENERAL CRISIS DEMORA REGULA";"2"
" ENVIAR CALLCENTER PAGUE CORREOS LLAMAR ABURRIDO COMPENSACION";"2"
" COMPENSACIONES MALA TAMPOCO ATENCION CALLCENTER CORREOS CHATO RESPUESTA PAGO ESPERO";"4"
" DEBE EMITE POR PERJUDICA VOUCHER TRAVEL AYUDA ASI JUEGA ME";"5"
" JULIO CARGO CASO ABIERTO TRIPLE SOLUCION";"4"
" TICKET CUMPLEN MENTIRAS PROMETIERON SUMA MENTIRAS DLRES IGUAL";"5"
" NI CENTER NECESITO SUCURSAL DAN AYUDAN VERSIONES CALL DISTINTAS SOLUCION URGENTE";"1"
" SERNAC ENTREGA NUEVO UNA BUEN VEZ LATAM SIMPLE FACTURA NO DAR SERVICIO COMPRA";"5"
" CUANTOS YA DIAS PERDI SEGUIMOS ESPERANDO";"4"
" QUEJAS PERDER SIEMPRE RECLAMOS SACARA TIENES CLUB BIENVENIDA EXCUSAS PONES";"3"
" RIO-SCL PARDOS AVION MINUTOS ÜENZA ABUSOS JJ8074 UNO VERG";"4"
" LATAM DOLARES CORREOS ESTAFA RECONOCIMIENTO PROMESA TENGO TARIFA";"5"
" EMPEZARAMOS PIDEN CEROS INFO MAS MES HARTAZGO INCREIBLE RESPUESTA ME CONTACTE APUESTAN LE";"5"
" UD DECEPCIONADO QUIEREN UYU-TLV ÑIA HICE VALIDAR ESTOY MILLAS IBERIA";"5"
" COBRAN PRECIO EQUIPAJE ÒN SILLA EXHORBITANTE TIQUETES DEJAN CAMBIO COMIDA SOBRE-VENTA AVI";"2"
" QUEJA LLEVO PRESENTANDO CDMX ESCUCHANDO DIAS NOTIFICO RESPUESTA FISICA PROFECO";"4"
" SUPONGO CASO LES CARGARON IDEA MIL DIAS BOLETO TRIPLE PASAR ME";"4"
" REEMBOLSO HAN EFECTUADO TARJETAS AYUDA REALIZO CORRESPONDIENTE TRIPLE CARGOS JULIO";"2"
" DEBE NEGOCIO DECIR NUEVO AHORA COMPRAR TIQUETE CAMBIAR CAMBIOS";"5"
" VOZ PROCEDIMIENTOS DIOS VIEJAS SEXY CONOCEN NO SERVICIO BRUTAS PAISA BENDITO";"4"
" NOCHE EMBARCADO PASAMOS YA VEZ JUEGOS DIJERON PASAJERO DESPEGABAMOS MIAMI";"5"
" RETRASADOS AVIONES PASA";"5"
" ESTAN COLOMBIA SOLUCIONA";"1"
" TENGAS VIAJAMOS MIERDA POBRES LEO SUERTE JET";"5"
" POLITICO SUFRIR QUE VIAJE COMITE PUEDEN";"5"
" TAMPOCO MIERDA RT";"5"
" TAMPOCO MIERDA";"5"
" PERDIERON SUERTE EQUIPAJE BAJON ROBARON LUCHANDO PAGUEN";"3"
" DISTENDIDO TAMBIEN RT CARTERISTAS QUE LINDO SORPRENDE GRANIZO LATAM SIEMPRE AHORA";"5"
" SEGURIDAD AVION VOLA YA MUCHACHO NOSOTROS GRANIZAMOS";"5"
" SEGURIDAD PUEDAN PASA EMPRESA CUIDADO ESTUPIDOS EL";"5"
" DISTENDIDO TAMBIEN CARTERISTAS QUE LINDO SORPRENDE GRANIZO LATAM SIEMPRE AHORA";"5"
" PROTOCOLOS RT REVISAR URGENTE CANCELACION";"2"
" TUVE CANCELAR DESASTRE PASAJE UN MEDICAS RT DINERO MESES RAZONES DEVUELVEN";"4"
" PUERTA LAMENTABLE PAIS IMAGEN NUESTRO";"5"
" SERVICIO IGUAL";"4"
" PTO MONTT TACO SEGUIMOS";"5"
" MESES CASO ANTONIO RESPONDERME DEMORARON";"4"
" PARO PLENO SEGUIMOS ATENCION TACO AQUI TAXISTAS";"4"
" DEBERIAN OCURRAN NO ESTOS";"5"
" MALO GENTE CENTER RESPONDE CALL CORREOS PEOR TODAVIA GESTION HORRIBLE";"1"
" ARROJARON AVION";"5"
" RT SOBREPESO LA PARTE";"5"
" REINGRESAR SIEMPRE ERROR MISMOS FRUSTRANTE NACIONALIDAD MI RT DATOS ADEMAS";"5"
" LATAMPASS RT AHORA INGRESO";"5"
" SOBREPESO LA PARTE";"5"
" QUEDABA IQUIQUE VIAJE FILA MERCADO RT ALMUERZO SANDWICH SANTIAGO MENU";"5"
" NUNCA VIAJARE INCREIBLE CIELOS EMPRESA PELOTUDEZ RT PERMITA";"5"
" NUNCA VIAJARE INCREIBLE EMPRESA PELOTUDEZ PERMI";"5"
" CONCHA HERMANA LA";"5"
" NUNCA LATAM VIAJO";"5"
" PUTA SUBO EN NUNCA ME ÓN MÁS MI RIDICULOS UN AVI LATAM DE VIDA";"5"
" VOLVER COSTO PESIMO RT SERVICIO ESPERO VOLVIERON UTILIZAR AEROLINEA";"4"
" HAN SUCEDIDO VIAJEROS DECIRTE MES DEJAME RT PASADO";"5"
" HAN SUCEDIDO VIAJEROS DECIRTE MES DEJAME PASADO";"5"
" VOLVER COSTO PESIMO SERVICIO ESPERO VOLVIERON UTILIZAR AEROLINEA";"4"
" LOBO HOY MOVIMIENTO DIRECTOR FABIANO LATAM CONSUMIDOR CAMBIAR MOBILE MMA DICE INEVITABLE";"5"
" QUE PAYASADA";"5"
" DIARIOS FUNCIONO INTENTOS LA ACTUALIZADA MEJOR LLEVO SEMANA VERSION PQ";"5"
" NUNCA DESASTRE VIAJANDO QUE SERVICIO DIA";"4"
" PERDI HOSPEDAJES REPROGRAMARON DIAS DINERO PRESENTISMO OTROS ME";"4"
" DEVOLVIERON CANCELARON ME PESO";"5"
" TOQUE LU MIERDA EMPRESA VIAJAR OJALA TAN";"5"
" BUSCA PESIMO BARATA RESPECTO PASA RESPONDEN CON SIEMPRE VECES";"5"
" ESPERE AUTORIZACION FINALMENTE EMBARCAR DEJE MESES YO MASCOTA SEIS";"4"
" LANPASS CENTER CALL LUEGO CUELGA UPG INGRESAR ESTOY CODIGO INTENTANDO LLAMO POSTULAR";"1"
" PONERSE MINUTOS MERCADO LEEE DISCLAIMER ACABAN OFERTAS NO LENTES BIEN";"4"
" ES CENTER CALL CONTACTARLOS INBOX FAVOR EMERGENCIA CONTESTAR TRATANDO";"1"
" CALL LLAMADA LLAMANDO CUELGAN CENTER";"1"
" NUESTROS QDAN ATERRICE CORRUPTOS JUSTO NUESTRO AEROPUERTO DINERO PASAJES TALARA LE";"5"
" RATEROS MIS UDS PASAJES AEROLINEA";"2"
" RATEROS ZIKA SO BESTIAS NECESITO DENUNCIA AHORA PASAJES PEDAZO";"2"
" RT DESCARADAMENTE ROBAN NOS";"5"
" SUPUESTAMENTE PRECIOS QUITARON IGUAL";"5"
" AEREA CAMBIAR LINEA PROXIMA";"5"
" SERIA PERDIDA";"2"
" IDA CUANDO TARAPOTO SUBIDO DOLARES HA VUELTA VIAJABA";"5"
" SERVICIO CIERTO MUY ESTAS PESIMO";"4"
" DESCARADAMENTE ROBAN NOS";"5"
" QDARON TAMBIEN DCIA MISMO DEVOLVIERON VUELTA PASAJES";"5"
" CELEBRAMOS DEVOLUCION MAÑANA IRRESPONSABLES NADIE MESES FUERTE ODIO";"4"
" NUESTROS QUEREMOS VOLVER DEJES HOGARES MORIR DALE PUERTO VARADOS RT IGUAZU NO CODIGO";"5"
" VOLVER HOY GRACIAS CANCELADO SIEMPRE RESTO NECESITO CAGANDO RT BSAS";"2"
" CASO NUMERO YESO PERJUDICARON EL VIEJOS DEMORARON";"4"
" PORQUE AIUUUUDA PUERTO VARADOS RT IGUAZU NUESTRO CANCELARON";"5"
" GUWQKY COBRARON DEVOLUCION SIGO ESPERANDO KM LANPASS RESERVA US";"2"
" MENTIROSO QUIEN MANEJA ADEMAS SALAME";"5"
